competition_name,archetype,seasons
La Liga,Creative Playmaker,163
La Liga,Creative Winger,96
La Liga,Defensive Anchor,304
La Liga,Low Activity,167
La Liga,Pressing Forward,139
Premier League,Creative Playmaker,65
Ligue 1,Creative Playmaker,107
1. Bundesliga,Creative Playmaker,70
Serie A,Creative Playmaker,89
Premier League,Creative Winger,42
Ligue 1,Creative Winger,77
1. Bundesliga,Creative Winger,57
Serie A,Creative Winger,43
Premier League,Defensive Anchor,169
Ligue 1,Defensive Anchor,175
1. Bundesliga,Defensive Anchor,145
Serie A,Defensive Anchor,138
Premier League,Low Activity,163
Ligue 1,Low Activity,148
1. Bundesliga,Low Activity,121
Serie A,Low Activity,240
Premier League,Pressing Forward,102
Ligue 1,Pressing Forward,84
1. Bundesliga,Pressing Forward,83
Serie A,Pressing Forward,82
